No;Kode Part;Desc Part;Gudang Part;Lokasi Part;ONHAND;BOOKING;AVS
1102;53205K25600FMB;COVER HDL FR (BLK);GUDANG UTAMA BAHAGIA MOTOR;C2.01.1.1;0;0;0
1103;53205K25600VBM;COVER HDL FR (VD BL MT);GUDANG UTAMA BAHAGIA MOTOR;C2.04.2.1;1;0;1
1104;53205K25900CSR;COVER HDL FR(CN SC RD);GUDANG UTAMA BAHAGIA MOTOR;C2.01.1.1;1;0;1
1105;53205K25900FMB;COVER HDL FR(BLK);GUDANG UTAMA BAHAGIA MOTOR;C2.01.1.1;5;0;5
1106;53205K25900PFW;COVER HDL FR(PL FD WH);GUDANG UTAMA BAHAGIA MOTOR;A1.02.2.4;0;0;0
1107;53205K25900VBM;COVER HDL FR(VD BL MT);GUDANG UTAMA BAHAGIA MOTOR;C2.04.2.1;0;0;0
1108;53205K41N00ZA;COVER HDL FR(BLK);GUDANG UTAMA BAHAGIA MOTOR;C2.01.1.1;0;0;0
1109;53205K46N00PFW;COVER HDL FR(PL FD WH);GUDANG UTAMA BAHAGIA MOTOR;C2.01.1.1;1;0;1
1110;53205K59A70ZB;COVER,HANDLE FR (BLK);GUDANG UTAMA BAHAGIA MOTOR;B4.1.1.1;0;0;0
1111;53205K61900FMB;COVER HDL FR (BLK);GUDANG UTAMA BAHAGIA MOTOR;C1.02.1.1;2;0;2
1112;53205K61900RSW;COVER HDL FR (RO WH);GUDANG UTAMA BAHAGIA MOTOR;C1.02.1.1;2;0;2
1113;53205K81N00FMB;53205K81N00ZB;GUDANG UTAMA BAHAGIA MOTOR;C2.04.2.1;0;0;0
1114;53205K81N00RSW;53205K81N00ZE;GUDANG UTAMA BAHAGIA MOTOR;C2.04.2.1;0;0;0
1115;53205K81N00WRD;COVER HDL FR (WN RD);GUDANG UTAMA BAHAGIA MOTOR;C2.04.2.1;1;0;1
1116;53205K81N00ZB;COVER,HANDLE FR (BLK);GUDANG UTAMA BAHAGIA MOTOR;C1.02.1.1;0;0;0
1117;53205K81N00ZE;COVER,HANDLE FR (RO WH);GUDANG UTAMA BAHAGIA MOTOR;C2.04.2.1;1;0;1
1118;53205K81N00ZF;COVER,HANDLE FR (VD BL MT);GUDANG UTAMA BAHAGIA MOTOR;C1.02.1.1;1;0;1
1119;53205K81N00ZG;COVER,HANDLE FR (SP MG MT);GUDANG UTAMA BAHAGIA MOTOR;C1.02.2.3;0;0;0
1120;53205K93N00ZL;COVER A, SPDMT (BLK);GUDANG UTAMA BAHAGIA MOTOR;B4.04.4.3;0;0;0
